"","id","exists","weblink_au","category"
"64",64,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"65",65,TRUE,"https://wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific"," Primary Organ – Regional Branch"
"66",66,TRUE,"https://wikipedia.org/wiki/GRI",NA
"67",67,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"68",68,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"69",69,TRUE,"https://wikipedia.org/wiki/MI",NA
"70",70,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"71",71,TRUE,"https://wikipedia.org/wiki/UNOG",NA
"72",72,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"73",73,TRUE,"https://wikipedia.org/wiki/United_Nations_Statistics_Division",NA
"74",74,TRUE,"https://wikipedia.org/wiki/UNSSC"," Research and training institute"
"75",75,TRUE,"https://wikipedia.org/wiki/Hertie_School"," Private"
"76",76,TRUE,"https://wikipedia.org/wiki/UNITAR"," Research and training institute"
"77",77,TRUE,"https://wikipedia.org/wiki/UN_DESA"," Department"
"78",78,TRUE,"https://wikipedia.org/wiki/ECLAC"," Primary Organ - Regional Branch"
"79",79,TRUE,"https://wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research"," Research and training institute"
"80",80,TRUE,"https://wikipedia.org/wiki/United_Nations_System_Staff_College"," Research and training institute"
