"","exists","weblink_au"
"217",TRUE,"https://wikipedia.org/wiki/Ain_Shams_University"
"222",TRUE,"https://wikipedia.org/wiki/Athens_University_of_Economics_and_Business"
"224",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"225",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"227",TRUE,"https://wikipedia.org/wiki/GEOMAR"
"228",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"229",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"230",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"231",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"232",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"233",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"234",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"235",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"236",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"237",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"238",TRUE,"https://wikipedia.org/wiki/Kiel_University"
"239",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"241",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"242",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"244",TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development"
"245",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"247",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"248",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"250",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"251",TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development"
"254",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"255",TRUE,"https://wikipedia.org/wiki/University_of_Delaware"
"256",TRUE,"https://wikipedia.org/wiki/World_Business_Council_for_Sustainable_Development"
"257",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"259",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"260",TRUE,"https://wikipedia.org/wiki/National_Research_University_Higher_School_of_Economics"
"262",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"263",TRUE,"https://wikipedia.org/wiki/Monash_University"
"264",TRUE,"https://wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis"
"265",TRUE,"https://wikipedia.org/wiki/National_Wildlife_Federation"
"267",TRUE,"https://wikipedia.org/wiki/Cities_Alliance"
"268",TRUE,"https://wikipedia.org/wiki/Middlesex_University"
"269",TRUE,"https://wikipedia.org/wiki/UN-Habitat"
"270",TRUE,"https://wikipedia.org/wiki/University_of_Pennsylvania"
"271",TRUE,"https://wikipedia.org/wiki/Curtin_University"
"273",TRUE,"https://wikipedia.org/wiki/New_School"
"276",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"278",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"279",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"283",TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"
"284",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"285",TRUE,"https://wikipedia.org/wiki/Stockholm_International_Water_Institute"
"288",TRUE,"https://wikipedia.org/wiki/UNESCO"
"290",TRUE,"https://wikipedia.org/wiki/International_Telecommunication_Union"
"294",TRUE,"https://wikipedia.org/wiki/Sustainable_Development_Solutions_Network"
"295",TRUE,"https://wikipedia.org/wiki/MIT"
"296",TRUE,"https://wikipedia.org/wiki/University_of_Wollongong"
"297",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"299",TRUE,"https://wikipedia.org/wiki/UNESCO"
"301",TRUE,"https://wikipedia.org/wiki/UNESCO"
"303",TRUE,"https://wikipedia.org/wiki/Johns_Hopkins_University"
"304",TRUE,"https://wikipedia.org/wiki/Wageningen_University_&_Research"
"305",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"306",TRUE,"https://wikipedia.org/wiki/Rothamsted_Research"
"307",TRUE,"https://wikipedia.org/wiki/Tufts_University"
"308",TRUE,"https://wikipedia.org/wiki/Cornell_University"
"309",TRUE,"https://wikipedia.org/wiki/Wageningen_University_&_Research"
"310",TRUE,"https://wikipedia.org/wiki/United_Nations_Environment_Programme"
"311",TRUE,"https://wikipedia.org/wiki/Environmental_Law_Institute"
"312",TRUE,"https://wikipedia.org/wiki/University_of_California_-_Irvine"
"313",TRUE,"https://wikipedia.org/wiki/Duke_University"
"314",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"315",TRUE,"https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management"
"316",TRUE,"https://wikipedia.org/wiki/SUNY"
"317",TRUE,"https://wikipedia.org/wiki/Academy_of_Korean_Studies"
"319",TRUE,"https://wikipedia.org/wiki/Seoul_National_University"
"321",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"322",TRUE,"https://wikipedia.org/wiki/Korea_University"
"323",TRUE,"https://wikipedia.org/wiki/KDI_School_of_Public_Policy_and_Management"
"324",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"325",TRUE,"https://wikipedia.org/wiki/Middlesex_University"
"326",TRUE,"https://wikipedia.org/wiki/Middlesex_University"
"327",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
"328",TRUE,"https://wikipedia.org/wiki/Stellenbosch_University"
"329",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
"330",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
"331",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
"332",TRUE,"https://wikipedia.org/wiki/Stockholm_University"
"333",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
"334",TRUE,"https://wikipedia.org/wiki/Public_Health_Foundation_of_India"
"335",TRUE,"https://wikipedia.org/wiki/Chatham_House"
"336",TRUE,"https://wikipedia.org/wiki/Harvard_University"
"337",TRUE,"https://wikipedia.org/wiki/All_India_Institutes_of_Medical_Sciences"
"338",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"339",TRUE,"https://wikipedia.org/wiki/European_Climate_Foundation"
"341",TRUE,"https://wikipedia.org/wiki/George_Mason_University"
"342",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"344",TRUE,"https://wikipedia.org/wiki/United_Nations_Development_Programme"
"345",TRUE,"https://wikipedia.org/wiki/Roman_Catholic_Church"
"346",TRUE,"https://wikipedia.org/wiki/Columbia_University"
"347",TRUE,"https://wikipedia.org/wiki/Pontifical_Academy_of_Sciences"
"348",TRUE,"https://wikipedia.org/wiki/International_Monetary_Fund"
"349",TRUE,"https://wikipedia.org/wiki/World_Conference_of_Religions_for_Peace"
"350",TRUE,"https://wikipedia.org/wiki/University_of_Victoria"
"351",TRUE,"https://wikipedia.org/wiki/Stockholm_Resilience_Centre"
