"","titles","authors","au_category","piece","weblink","id.id","id.titles","id.authors","id.au_category","id.piece","id.weblink"
"68","The UN Country Team Leadership Course","United Nations System Staff College","United Nations System Staff College","United_Nations_System_Staff_College","https://wikipedia.org/wiki/United_Nations_System_Staff_College", 68,The UN Country Team Leadership Course,United Nations System Staff College,United Nations System Staff College,United_Nations_System_Staff_College,https://wikipedia.org/wiki/United_Nations_System_Staff_College
"69","Foresight for Development, the 2030 Agenda and the SDGs","United Nations Economic Commission for Latin America  and the Caribbean","United Nations Economic Commission for Latin America  and the Caribbean","United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean","https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean", 69,Foresight for Development, the 2030 Agenda and the SDGs,United Nations Economic Commission for Latin America  and the Caribbean,United Nations Economic Commission for Latin America  and the Caribbean,United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean,https://wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America__and_the_Caribbean
"70","UN Summer Academy 2022","United Nations System Staff College","United Nations System Staff College","United_Nations_System_Staff_College","https://wikipedia.org/wiki/United_Nations_System_Staff_College", 70,UN Summer Academy 2022,United Nations System Staff College,United Nations System Staff College,United_Nations_System_Staff_College,https://wikipedia.org/wiki/United_Nations_System_Staff_College
"71","UN Summer Academy","United Nations System Staff College","United Nations System Staff College","United_Nations_System_Staff_College","https://wikipedia.org/wiki/United_Nations_System_Staff_College", 71,UN Summer Academy,United Nations System Staff College,United Nations System Staff College,United_Nations_System_Staff_College,https://wikipedia.org/wiki/United_Nations_System_Staff_College
"72","System Dynamics-based Development Planning","MI","MI","MI","https://wikipedia.org/wiki/MI", 72,System Dynamics-based Development Planning,MI,MI,MI,https://wikipedia.org/wiki/MI
"73","System Dynamics-based Development Planning","UiB","UiB","UiB","https://wikipedia.org/wiki/UiB", 73,System Dynamics-based Development Planning,UiB,UiB,UiB,https://wikipedia.org/wiki/UiB
"74","In Practice: Aligning Your Business with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy", 74,In Practice: Aligning Your Business with the Global Goals,United Nations Global Compact Academy,United Nations Global Compact Academy,United_Nations_Global_Compact_Academy,https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy
"75","How to Align Your Business Strategy with the Global Goals","United Nations Global Compact Academy","United Nations Global Compact Academy","United_Nations_Global_Compact_Academy","https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy", 75,How to Align Your Business Strategy with the Global Goals,United Nations Global Compact Academy,United Nations Global Compact Academy,United_Nations_Global_Compact_Academy,https://wikipedia.org/wiki/United_Nations_Global_Compact_Academy
"76","Three Steps to Integrating the Global Goals into Corporate Reporting","UNGCA","UNGCA","UNGCA","https://wikipedia.org/wiki/UNGCA", 76,Three Steps to Integrating the Global Goals into Corporate Reporting,UNGCA,UNGCA,UNGCA,https://wikipedia.org/wiki/UNGCA
"77","Three Steps to Integrating the Global Goals into Corporate Reporting","GRI","GRI","GRI","https://wikipedia.org/wiki/GRI", 77,Three Steps to Integrating the Global Goals into Corporate Reporting,GRI,GRI,GRI,https://wikipedia.org/wiki/GRI
"78","Living Heritage and Sustainable Development","National Autonomous University of Mexico","National Autonomous University of Mexico","National_Autonomous_University_of_Mexico","https://wikipedia.org/wiki/National_Autonomous_University_of_Mexico", 78,Living Heritage and Sustainable Development,National Autonomous University of Mexico,National Autonomous University of Mexico,National_Autonomous_University_of_Mexico,https://wikipedia.org/wiki/National_Autonomous_University_of_Mexico
"79","Living Heritage and Sustainable Development","National Institute of Archaeology and Heritage Sciences of Morocco","National Institute of Archaeology and Heritage Sciences of Morocco","National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco","https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco", 79,Living Heritage and Sustainable Development,National Institute of Archaeology and Heritage Sciences of Morocco,National Institute of Archaeology and Heritage Sciences of Morocco,National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco,https://wikipedia.org/wiki/National_Institute_of_Archaeology_and_Heritage_Sciences_of_Morocco
"80","Living Heritage and Sustainable Development","The University of Hong Kong","The University of Hong Kong","The_University_of_Hong_Kong","https://wikipedia.org/wiki/The_University_of_Hong_Kong", 80,Living Heritage and Sustainable Development,The University of Hong Kong,The University of Hong Kong,The_University_of_Hong_Kong,https://wikipedia.org/wiki/The_University_of_Hong_Kong
"81","Living Heritage and Sustainable Development","UNESCO Global Network of Facilitators","UNESCO Global Network of Facilitators","UNESCO_Global_Network_of_Facilitators","https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators", 81,Living Heritage and Sustainable Development,UNESCO Global Network of Facilitators,UNESCO Global Network of Facilitators,UNESCO_Global_Network_of_Facilitators,https://wikipedia.org/wiki/UNESCO_Global_Network_of_Facilitators
"82","Living Heritage and Sustainable Development","University of South Africa","University of South Africa","University_of_South_Africa","https://wikipedia.org/wiki/University_of_South_Africa", 82,Living Heritage and Sustainable Development,University of South Africa,University of South Africa,University_of_South_Africa,https://wikipedia.org/wiki/University_of_South_Africa
