"","titles","category","website","id.x","weblink","id.y","authors"
"45","SEEA: In Depth Training on Energy Accounting","reflexivity and adaptation","https://www.unsdglearn.org/courses/system-of-environmental-economic-accounting-seea-in-depth-training-on-energy-accounting/",42,"https://www.unsdglearn.org/courses/system-of-environmental-economic-accounting-seea-in-depth-training-on-energy-accounting/","47","United Nations System Staff College, OECD Policy Coherence for Sustainable Development Unit, Lee Kuan Yew School of Public Policy, Hertie School, United Nations System Staff College, OECD Policy Coherence for Sustainable Development Unit, Lee Kuan Yew School of Public Policy, Hertie School"
"46","Preparing for Action “National Briefing Package: The 2030 Agenda and SDGs”","participation","https://www.unsdglearn.org/courses/preparing-for-action-national-briefing-package-the-2030-agenda-and-sdgs/",43,"https://www.unsdglearn.org/courses/preparing-for-action-national-briefing-package-the-2030-agenda-and-sdgs/","48","United Nations Institute for Training and Research, United Nations Department of Economic and Social Affairs, United Nations Economic Commission for Latin America  and the Caribbean, United Nations Institute for Training and Research, United Nations Department of Economic and Social Affairs, United Nations Economic Commission for Latin America  and the Caribbean"
"47","Introduction to the SEEA Central Framework","reflexivity and adaptation","https://www.unsdglearn.org/courses/introduction-to-the-system-of-environmental-economic-accounting-seea-central-framework/",44,"https://www.unsdglearn.org/courses/introduction-to-the-system-of-environmental-economic-accounting-seea-central-framework/","49","United Nations Institute for Training and Research, United Nations Institute for Training and Research"
"48","How to Achieve the SDGs","participation","https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/",45,"https://www.unsdglearn.org/courses/how-to-achieve-the-sustainable-development-goals/","5","United Nations Industrial Development Organization, United Nations Industrial Development Organization"
"49","Integrated Economic Statistics to support 2008 SNA implementation","reflexivity and adaptation","https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/",46,"https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/","50","United Nations System Staff College, United Nations System Staff College"
"50","Policy Coherence for Sustainable Development","policy coherence","https://www.unsdglearn.org/courses/policy-coherence-for-sustainable-development/",47,"https://www.unsdglearn.org/courses/policy-coherence-for-sustainable-development/","51","United Nations System Staff College, United Nations System Staff College"
"51","Integrated policies and policy coherence for SDGs","policy coherence","https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/",48,"https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/","24","United Nations System Staff College, United Nations Institute for Training and Research, United Nations Sustainable Development Solutions Network, United Nations Development Coordination Office, United Nations System Staff College, United Nations Institute for Training and Research, United Nations Sustainable Development Solutions Network, United Nations Development Coordination Office"
"52","Integrated policies and policy coherence for SDGs","policy coherence","https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/",48,"https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/","52","United Nations Economic Commission for Latin America  and the Caribbean, United Nations Economic Commission for Latin America  and the Caribbean"
"53","Policy cycle, integrated approaches and SDGs for African LDCs","policy coherence","https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs-for-african-ldcs-and-other-african-countries/",49,"https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs-for-african-ldcs-and-other-african-countries/","6","World Bank Group, World Bank Group – Open Learning Campus, World Bank Group, World Bank Group – Open Learning Campus"
"54","The UN Country Team Leadership Course","reflexivity and adaptation","https://www.unsdglearn.org/courses/the-un-country-team-leadership-course-maximizing-synergies-for-greater-impact-2/",50,"https://www.unsdglearn.org/courses/the-un-country-team-leadership-course-maximizing-synergies-for-greater-impact-2/","7","UN CC:Learn, United Nations Institute for Training and Research, World Meteorological Organization, UN CC:Learn, United Nations Institute for Training and Research, World Meteorological Organization"
"55","UN Summer Academy","reflexivity and adaptation","https://www.unsdglearn.org/courses/un-summer-academy/",51,"https://www.unsdglearn.org/courses/un-summer-academy/","8","United Nations System Staff College, United Nations System Staff College"
"56","Foresight for Development, the 2030 Agenda and the SDGs","reflexivity and adaptation","https://www.unsdglearn.org/courses/foresight-for-development-the-2030-agenda-and-the-sdgs/",52,"https://www.unsdglearn.org/courses/foresight-for-development-the-2030-agenda-and-the-sdgs/","9","United Nations Children’s Fund, United Nations Children’s Fund"
